DATE,Electricity,Humidity,Temperature
2020-01-01 00:00:00 EST,914,92,-1.1
2020-01-01 01:00:00 EST,887,92,-1.5
2020-01-01 02:00:00 EST,865,91,-1.5
2020-01-01 03:00:00 EST,852,88,-1.1
2020-01-01 04:00:00 EST,852,87,-1.3
2020-01-01 05:00:00 EST,870,88,-1.1
2020-01-01 06:00:00 EST,902,88,-0.9
2020-01-01 07:00:00 EST,921,89,-0.9
2020-01-01 08:00:00 EST,940,90,-0.9
2020-01-01 09:00:00 EST,975,92,-0.9
2020-01-01 10:00:00 EST,1001,93,-0.5
2020-01-01 11:00:00 EST,1023,91,-0.1
2020-01-01 12:00:00 EST,1043,90,0
2020-01-01 13:00:00 EST,1041,90,0.3
2020-01-01 14:00:00 EST,1033,89,0.7
2020-01-01 15:00:00 EST,1025,86,0.7
2020-01-01 16:00:00 EST,1096,88,0.2
2020-01-01 17:00:00 EST,1158,87,0.3
2020-01-01 18:00:00 EST,1127,80,0.3
2020-01-01 19:00:00 EST,1096,91,-0.1
2020-01-01 20:00:00 EST,1068,91,-0.6
2020-01-01 21:00:00 EST,1043,90,-0.6
2020-01-01 22:00:00 EST,989,84,-0.8
2020-01-01 23:00:00 EST,925,83,-1
2020-01-02 00:00:00 EST,879,79,-1.4
2020-01-02 01:00:00 EST,852,82,-2
2020-01-02 02:00:00 EST,839,81,-2.8
2020-01-02 03:00:00 EST,836,85,-3.5
2020-01-02 04:00:00 EST,854,85,-3.7
2020-01-02 05:00:00 EST,897,86,-3.6
2020-01-02 06:00:00 EST,982,90,-4.1
2020-01-02 07:00:00 EST,1047,91,-3.8
2020-01-02 08:00:00 EST,1078,92,-3.1
2020-01-02 09:00:00 EST,1094,91,-2.5
2020-01-02 10:00:00 EST,1096,84,0.3
2020-01-02 11:00:00 EST,1098,84,1.2
2020-01-02 12:00:00 EST,1085,81,2.4
2020-01-02 13:00:00 EST,1066,78,3.1
2020-01-02 14:00:00 EST,1074,77,3.1
2020-01-02 15:00:00 EST,1103,76,3.2
2020-01-02 16:00:00 EST,1166,76,3.2
2020-01-02 17:00:00 EST,1229,73,3.5
2020-01-02 18:00:00 EST,1198,71,3.6
2020-01-02 19:00:00 EST,1169,68,3.9
2020-01-02 20:00:00 EST,1133,66,4.1
2020-01-02 21:00:00 EST,1108,67,3.9
2020-01-02 22:00:00 EST,1028,69,3.8
2020-01-02 23:00:00 EST,942,72,3.5
2020-01-03 00:00:00 EST,885,77,3.1
2020-01-03 01:00:00 EST,847,77,3.3
2020-01-03 02:00:00 EST,844,79,3.1
2020-01-03 03:00:00 EST,834,79,3
2020-01-03 04:00:00 EST,834,81,3
2020-01-03 05:00:00 EST,884,83,3
2020-01-03 06:00:00 EST,942,83,3.4
2020-01-03 07:00:00 EST,1012,86,3
2020-01-03 08:00:00 EST,1070,86,3.1
2020-01-03 09:00:00 EST,1065,86,3.5
2020-01-03 10:00:00 EST,1063,84,3.6
2020-01-03 11:00:00 EST,1076,83,3.9
2020-01-03 12:00:00 EST,1088,82,4.2
2020-01-03 13:00:00 EST,1085,81,4.5
2020-01-03 14:00:00 EST,1092,80,4.7
2020-01-03 15:00:00 EST,1102,81,4.4
2020-01-03 16:00:00 EST,1154,78,4
2020-01-03 17:00:00 EST,1188,85,3.5
2020-01-03 18:00:00 EST,1173,87,2.9
2020-01-03 19:00:00 EST,1146,87,2.9
2020-01-03 20:00:00 EST,1103,84,2.7
2020-01-03 21:00:00 EST,1053,77,2.5
2020-01-03 22:00:00 EST,1001,78,2.3
2020-01-03 23:00:00 EST,939,84,1.3
2020-01-04 00:00:00 EST,885,81,1.5
2020-01-04 01:00:00 EST,851,80,1.3
2020-01-04 02:00:00 EST,825,80,1.1
2020-01-04 03:00:00 EST,802,80,1
2020-01-04 04:00:00 EST,819,81,0.7
2020-01-04 05:00:00 EST,845,83,0.5
2020-01-04 06:00:00 EST,888,84,0.4
2020-01-04 07:00:00 EST,936,81,0.2
2020-01-04 08:00:00 EST,989,77,0.1
2020-01-04 09:00:00 EST,1038,78,0.1
2020-01-04 10:00:00 EST,1073,79,0.1
2020-01-04 11:00:00 EST,1077,91,-0.6
2020-01-04 12:00:00 EST,1063,93,-0.4
2020-01-04 13:00:00 EST,1064,92,-0.4
2020-01-04 14:00:00 EST,1060,93,-0.5
2020-01-04 15:00:00 EST,1101,93,-0.8
2020-01-04 16:00:00 EST,1143,95,-0.9
2020-01-04 17:00:00 EST,1186,95,-1
2020-01-04 18:00:00 EST,1159,95,-0.8
2020-01-04 19:00:00 EST,1125,95,-1
2020-01-04 20:00:00 EST,1088,90,-1.2
2020-01-04 21:00:00 EST,1050,86,-1.7
2020-01-04 22:00:00 EST,992,86,-1.9
2020-01-04 23:00:00 EST,929,87,-2.1
2020-01-05 00:00:00 EST,880,82,-2.5
2020-01-05 01:00:00 EST,861,79,-3
2020-01-05 02:00:00 EST,842,79,-3.4
2020-01-05 03:00:00 EST,848,75,-4
2020-01-05 04:00:00 EST,851,82,-5.2
2020-01-05 05:00:00 EST,872,79,-5.8
2020-01-05 06:00:00 EST,900,78,-7
2020-01-05 07:00:00 EST,945,78,-7.5
2020-01-05 08:00:00 EST,1002,77,-7.5
2020-01-05 09:00:00 EST,1042,77,-7.3
2020-01-05 10:00:00 EST,1071,73,-7.1
2020-01-05 11:00:00 EST,1084,70,-6.9
2020-01-05 12:00:00 EST,1083,72,-6.9
2020-01-05 13:00:00 EST,1070,78,-7.1
2020-01-05 14:00:00 EST,1075,70,-6.7
2020-01-05 15:00:00 EST,1113,63,-6.2
2020-01-05 16:00:00 EST,1207,65,-6.9
2020-01-05 17:00:00 EST,1294,69,-8.1
2020-01-05 18:00:00 EST,1271,73,-8.4
2020-01-05 19:00:00 EST,1242,70,-7.6
2020-01-05 20:00:00 EST,1224,77,-8.7
2020-01-05 21:00:00 EST,1170,83,-11
2020-01-05 22:00:00 EST,1091,85,-10.8
2020-01-05 23:00:00 EST,1027,86,-11.4
2020-01-06 00:00:00 EST,991,84,-10.9
2020-01-06 01:00:00 EST,959,85,-11.4
2020-01-06 02:00:00 EST,955,83,-11.2
2020-01-06 03:00:00 EST,967,81,-10.9
2020-01-06 04:00:00 EST,990,82,-10.8
2020-01-06 05:00:00 EST,1052,84,-10.7
2020-01-06 06:00:00 EST,1169,86,-10.5
2020-01-06 07:00:00 EST,1264,86,-10.8
2020-01-06 08:00:00 EST,1288,87,-10.5
2020-01-06 09:00:00 EST,1270,86,-9.9
2020-01-06 10:00:00 EST,1271,86,-9.6
2020-01-06 11:00:00 EST,1263,86,-9.3
2020-01-06 12:00:00 EST,1228,86,-8.9
2020-01-06 13:00:00 EST,1241,86,-8.4
2020-01-06 14:00:00 EST,1223,85,-7.7
2020-01-06 15:00:00 EST,1237,87,-7.6
