Date, Open, High, Low, Close
06/19/14,2.588,2.645,2.566,2.619
06/20/14,2.625,2.657,2.607,2.608
06/23/14,2.609,2.628,2.59,2.628
06/24/14,2.626,2.626,2.573,2.579
06/25/14,2.578,2.589,2.531,2.563
06/26/14,2.56,2.569,2.513,2.531
06/27/14,2.529,2.539,2.508,2.536
06/30/14,2.532,2.548,2.513,2.532
07/01/2014,2.531,2.57,2.521,2.567
07/02/2014,2.568,2.629,2.548,2.627
07/03/2014,2.627,2.691,2.615,2.638
07/07/2014,2.66,2.663,2.61,2.614
07/08/2014,2.615,2.624,2.557,2.558
07/09/2014,2.56,2.605,2.542,2.552
07/10/2014,2.557,2.56,2.495,2.536
07/11/2014,2.535,2.549,2.505,2.52
07/14/14,2.522,2.554,2.522,2.549
07/15/14,2.549,2.573,2.518,2.549
07/16/14,2.548,2.565,2.526,2.527
07/17/14,2.526,2.527,2.442,2.45
07/18/14,2.453,2.501,2.446,2.484
07/21/14,2.469,2.493,2.448,2.47
07/22/14,2.471,2.505,2.459,2.463
07/23/14,2.468,2.483,2.447,2.468
07/24/14,2.47,2.519,2.46,2.506
07/25/14,2.506,2.526,2.464,2.468
07/28/14,2.473,2.499,2.465,2.486
07/29/14,2.49,2.499,2.452,2.461
07/30/14,2.458,2.566,2.457,2.558
07/31/14,2.56,2.613,2.542,2.56
08/01/2014,2.564,2.59,2.482,2.495
08/04/2014,2.497,2.512,2.469,2.484
08/05/2014,2.487,2.526,2.472,2.486
08/06/2014,2.487,2.491,2.436,2.473
08/07/2014,2.467,2.481,2.408,2.413
08/08/2014,2.417,2.427,2.347,2.425
08/11/2014,2.43,2.441,2.411,2.43
08/12/2014,2.428,2.454,2.416,2.451
08/13/14,2.457,2.475,2.406,2.421
08/14/14,2.434,2.443,2.385,2.402
08/15/14,2.408,2.414,2.302,2.341
08/18/14,2.357,2.397,2.351,2.394
08/19/14,2.396,2.409,2.361,2.403
08/20/14,2.401,2.445,2.397,2.431
08/21/14,2.436,2.451,2.398,2.407
08/22/14,2.41,2.444,2.383,2.405
08/25/14,2.409,2.415,2.378,2.386
08/26/14,2.385,2.401,2.365,2.398
08/27/14,2.396,2.399,2.355,2.356
08/28/14,2.357,2.36,2.32,2.337
08/29/14,2.341,2.354,2.326,2.345
09/02/2014,2.361,2.425,2.355,2.423
09/03/2014,2.418,2.464,2.394,2.398
09/04/2014,2.402,2.456,2.381,2.451
09/05/2014,2.468,2.472,2.394,2.459
09/08/2014,2.455,2.478,2.42,2.473
09/09/2014,2.474,2.507,2.473,2.505
09/10/2014,2.505,2.544,2.491,2.541
09/11/2014,2.536,2.556,2.507,2.548
09/12/2014,2.548,2.614,2.545,2.611
09/15/14,2.607,2.622,2.581,2.591
09/16/14,2.587,2.598,2.551,2.595
09/17/14,2.592,2.626,2.557,2.622
09/18/14,2.627,2.641,2.596,2.618
09/19/14,2.627,2.655,2.576,2.576
09/22/14,2.573,2.578,2.548,2.567
09/23/14,2.566,2.571,2.524,2.525
09/24/14,2.53,2.57,2.527,2.566
09/25/14,2.567,2.57,2.502,2.503
09/26/14,2.507,2.546,2.491,2.53
09/29/14,2.524,2.542,2.477,2.479
09/30/14,2.484,2.523,2.478,2.492
10/01/2014,2.5,2.508,2.386,2.386
10/02/2014,2.385,2.44,2.384,2.427
10/03/2014,2.432,2.482,2.429,2.436
10/06/2014,2.44,2.45,2.405,2.422
10/07/2014,2.421,2.431,2.336,2.34
10/08/2014,2.348,2.385,2.309,2.323
10/09/2014,2.329,2.339,2.282,2.315
10/10/2014,2.314,2.348,2.282,2.283
10/14/14,2.236,2.261,2.184,2.196
10/15/14,2.206,2.228,1.912,2.14
10/16/14,2.14,2.179,1.979,2.161
10/17/14,2.156,2.249,2.12,2.197
10/20/14,2.216,2.227,2.158,2.192
10/21/14,2.188,2.228,2.135,2.22
10/22/14,2.215,2.248,2.18,2.218
10/23/14,2.217,2.297,2.202,2.273
10/24/14,2.276,2.276,2.23,2.272
10/27/14,2.285,2.296,2.241,2.263
10/28/14,2.26,2.3,2.248,2.296
10/29/14,2.297,2.361,2.276,2.316
10/30/14,2.311,2.334,2.279,2.307
10/31/14,2.306,2.357,2.294,2.337
11/03/2014,2.305,2.381,2.302,2.345
11/04/2014,2.344,2.348,2.305,2.336
11/05/2014,2.331,2.372,2.327,2.345
11/06/2014,2.344,2.39,2.328,2.388
11/07/2014,2.385,2.398,2.3,2.3
11/10/2014,2.309,2.365,2.273,2.363
11/12/2014,2.375,2.375,2.319,2.373
11/13/14,2.376,2.386,2.337,2.342
11/14/14,2.343,2.377,2.313,2.32
11/17/14,2.297,2.347,2.281,2.343
11/18/14,2.334,2.344,2.312,2.317
11/19/14,2.313,2.362,2.313,2.361
11/20/14,2.359,2.36,2.303,2.34
11/21/14,2.339,2.358,2.309,2.311
11/24/14,2.314,2.337,2.297,2.309
11/25/14,2.302,2.312,2.255,2.259
11/26/14,2.296,2.296,2.23,2.246
