Date, Open, High, Low, Close
06/19/14,1.3597,1.3607,1.3597,1.3607
06/20/14,1.3607,1.3607,1.3599,1.3599
06/23/14,1.3599,1.3603,1.3599,1.3603
06/24/14,1.3603,1.3607,1.3603,1.3607
06/25/14,1.3607,1.363,1.3607,1.363
06/26/14,1.363,1.363,1.3612,1.3612
06/27/14,1.3612,1.3648,1.3612,1.3648
06/30/14,1.3648,1.3693,1.3648,1.3693
07/01/14,1.3693,1.3693,1.3679,1.3679
07/02/14,1.3679,1.3679,1.3659,1.3659
07/03/14,1.3659,1.3659,1.3612,1.3612
07/04/14,1.3612,1.3612,1.3595,1.3595
07/07/14,1.3595,1.3605,1.3595,1.3605
07/08/14,1.3605,1.3612,1.3605,1.3612
07/09/14,1.3612,1.3642,1.3612,1.3642
07/10/14,1.3642,1.3642,1.361,1.361
07/11/14,1.361,1.361,1.361,1.361
07/14/14,1.361,1.3619,1.361,1.3619
07/15/14,1.3619,1.3619,1.357,1.357
07/16/14,1.357,1.357,1.3525,1.3525
07/17/14,1.3525,1.3526,1.3525,1.3526
07/18/14,1.3526,1.3526,1.3524,1.3524
07/21/14,1.3524,1.3524,1.3524,1.3524
07/22/14,1.3524,1.3524,1.3465,1.3465
07/23/14,1.3465,1.3465,1.3463,1.3463
07/24/14,1.3463,1.3463,1.3463,1.3463
07/25/14,1.3463,1.3463,1.343,1.343
07/28/14,1.343,1.3438,1.343,1.3438
07/29/14,1.3438,1.3438,1.341,1.341
07/30/14,1.341,1.341,1.3397,1.3397
07/31/14,1.3397,1.3397,1.339,1.339
08/01/14,1.339,1.3431,1.339,1.3431
08/04/14,1.3431,1.3431,1.3421,1.3421
08/05/14,1.3421,1.3421,1.3377,1.3377
08/06/14,1.3377,1.3382,1.3377,1.3382
08/07/14,1.3382,1.3382,1.3363,1.3363
08/08/14,1.3363,1.3413,1.3363,1.3413
08/11/14,1.3413,1.3413,1.3385,1.3385
08/12/14,1.3385,1.3385,1.337,1.337
08/13/14,1.337,1.337,1.3365,1.3365
08/14/14,1.3365,1.3366,1.3365,1.3366
08/15/14,1.3366,1.34,1.3366,1.34
08/18/14,1.34,1.34,1.3362,1.3362
08/19/14,1.3362,1.3362,1.3321,1.3321
08/20/14,1.3321,1.3321,1.326,1.326
08/21/14,1.326,1.3281,1.326,1.3281
08/22/14,1.3281,1.3281,1.3242,1.3242
08/25/14,1.3242,1.3242,1.3194,1.3194
08/26/14,1.3194,1.3194,1.3167,1.3167
08/27/14,1.3167,1.3194,1.3167,1.3194
08/28/14,1.3194,1.3194,1.3182,1.3182
08/29/14,1.3182,1.3182,1.3133,1.3133
09/01/14,1.3133,1.3133,1.313,1.313
09/02/14,1.313,1.3134,1.313,1.3134
09/03/14,1.3134,1.3152,1.3134,1.3152
09/04/14,1.3152,1.3152,1.2943,1.2943
09/05/14,1.2943,1.2954,1.2943,1.2954
09/08/14,1.2954,1.2958,1.2887,1.2896
09/09/14,1.2896,1.2957,1.2861,1.2939
09/10/14,1.2939,1.2962,1.2886,1.2917
09/11/14,1.2917,1.2962,1.2886,1.2917
09/12/14,1.2917,1.2978,1.2911,1.2965
09/15/14,1.2965,1.2965,1.296,1.296
09/16/14,1.296,1.2969,1.2911,1.2939
09/17/14,1.2939,1.2995,1.2924,1.2957
09/18/14,1.2957,1.2981,1.2837,1.2851
09/19/14,1.2851,1.293,1.2824,1.2824
09/22/14,1.2824,1.2825,1.2824,1.2825
09/23/14,1.2825,1.2868,1.2818,1.285
09/24/14,1.285,1.29,1.2844,1.2845
09/25/14,1.2845,1.2863,1.2776,1.2777
09/26/14,1.2777,1.2783,1.2687,1.2687
09/29/14,1.2687,1.2687,1.2686,1.2686
09/30/14,1.2686,1.2715,1.2666,1.269
10/01/14,1.269,1.2702,1.2573,1.263
10/02/14,1.263,1.2632,1.2586,1.2624
10/03/14,1.2624,1.2697,1.2515,1.2515
10/06/14,1.2515,1.2519,1.2515,1.2519
10/07/14,1.2519,1.2673,1.2513,1.2652
10/08/14,1.2652,1.2681,1.2586,1.2672
10/09/14,1.2672,1.2748,1.2624,1.2741
10/10/14,1.2741,1.2791,1.2628,1.2628
10/13/14,1.2628,1.2642,1.2628,1.2642
10/14/14,1.2642,1.2767,1.2642,1.2662
10/15/14,1.2662,1.2731,1.264,1.264
10/16/14,1.264,1.2845,1.264,1.2809
10/17/14,1.2809,1.2845,1.2708,1.276
10/20/14,1.276,1.276,1.2759,1.2759
10/21/14,1.2759,1.2816,1.2733,1.2794
10/22/14,1.2794,1.2839,1.2708,1.2712
10/23/14,1.2712,1.274,1.2639,1.2647
10/24/14,1.2647,1.2676,1.2618,1.2671
10/27/14,1.2671,1.2723,1.2668,1.27
10/28/14,1.27,1.2723,1.2668,1.2703
10/29/14,1.2703,1.2764,1.2687,1.2738
10/30/14,1.2738,1.2738,1.255,1.2613
10/31/14,1.2613,1.2633,1.2526,1.2526
11/03/14,1.2526,1.2526,1.2526,1.2526
11/04/14,1.2526,1.2526,1.2449,1.2493
11/05/14,1.2493,1.2567,1.2461,1.2552
11/06/14,1.2552,1.2569,1.2435,1.2477
11/07/14,1.2477,1.2477,1.2364,1.2456
11/10/14,1.2456,1.2456,1.2455,1.2455
11/11/14,1.2455,1.251,1.242,1.2427
11/12/14,1.2427,1.2501,1.2395,1.2476
11/13/14,1.2476,1.2498,1.242,1.243
11/14/14,1.243,1.2545,1.2401,1.2525
11/17/14,1.2525,1.2578,1.2447,1.245
11/18/14,1.245,1.2546,1.2444,1.2535
11/19/14,1.2535,1.2598,1.2512,1.2554
11/20/14,1.2554,1.2576,1.2505,1.2538
11/21/14,1.2538,1.2571,1.2376,1.239
11/24/14,1.239,1.2446,1.2372,1.2444
11/25/14,1.2444,1.2488,1.2403,1.2474
11/26/14,1.2474,1.2532,1.2444,1.2507
11/27/14,1.2507,1.2525,1.2465,1.2468
11/28/14,1.2468,1.2491,1.2427,1.2451
12/01/14,1.2451,1.2508,1.2421,1.247
12/02/14,1.247,1.2477,1.2376,1.2383
12/03/14,1.2383,1.2392,1.2302,1.231
12/04/14,1.231,1.2453,1.2286,1.2378
12/05/14,1.2386,1.2393,1.2271,1.2286
12/08/14,1.2286,1.2344,1.2248,1.2317
12/09/14,1.2316,1.2449,1.2292,1.2374
12/10/14,1.2375,1.245,1.2363,1.2448
12/11/14,1.2449,1.2496,1.2369,1.2411
12/12/14,1.2411,1.2486,1.2385,1.2464
12/15/14,1.2464,1.2478,1.2415,1.2438
12/16/14,1.2437,1.2571,1.2434,1.2511
12/17/14,1.251,1.2517,1.2323,1.2344
12/18/14,1.2344,1.2352,1.2268,1.2286
12/19/14,1.2286,1.2306,1.2221,1.2228
12/22/14,1.2228,1.2275,1.2216,1.223
12/23/14,1.2231,1.2247,1.2165,1.2172
12/24/14,1.2172,1.2225,1.2169,1.2197
12/25/14,1.2197,1.2255,1.2188,1.2226
12/26/14,1.2226,1.2228,1.2168,1.2182
12/29/14,1.2182,1.222,1.2144,1.2153
12/30/14,1.2152,1.2188,1.2124,1.2156
12/31/14,1.2159,1.2171,1.2096,1.2099
01/01/15,1.2099,1.2108,1.2098,1.2099
01/02/15,1.2099,1.2099,1.2001,1.2003
01/05/15,1.2003,1.2003,1.1888,1.1932
01/06/15,1.1932,1.197,1.1885,1.1889
01/07/15,1.189,1.1896,1.1804,1.184
01/08/15,1.1841,1.1848,1.1756,1.1792
01/09/15,1.1795,1.1846,1.1764,1.1843
01/12/15,1.1843,1.1872,1.1786,1.1834
01/13/15,1.1834,1.1861,1.1756,1.1772
01/14/15,1.1772,1.1846,1.1729,1.1788
01/15/15,1.1789,1.1795,1.1569,1.1632
01/16/15,1.1634,1.1656,1.1462,1.1566
01/19/15,1.1566,1.1641,1.1551,1.1607
01/20/15,1.1607,1.162,1.1541,1.1549
01/21/15,1.155,1.1674,1.1542,1.161
01/22/15,1.1609,1.1646,1.1318,1.1367
01/23/15,1.1364,1.1374,1.1118,1.1205
01/26/15,1.1205,1.1296,1.1153,1.1239
01/27/15,1.124,1.1423,1.1224,1.1381
01/28/15,1.1381,1.1383,1.1278,1.1286
01/29/15,1.1287,1.1367,1.1261,1.1321
01/30/15,1.1319,1.1365,1.128,1.1291
02/02/15,1.1291,1.1365,1.1287,1.1341
02/03/15,1.1341,1.1531,1.1314,1.148
02/04/15,1.1481,1.1485,1.1317,1.1343
02/05/15,1.1344,1.15,1.1304,1.1478
02/06/15,1.1479,1.1486,1.1312,1.1316
02/09/15,1.1316,1.1361,1.1271,1.1326
02/10/15,1.1323,1.1346,1.1275,1.1321
02/11/15,1.132,1.1346,1.128,1.1335
02/12/15,1.1337,1.1423,1.1304,1.1403
02/13/15,1.1404,1.1445,1.1381,1.139
02/16/15,1.139,1.1429,1.132,1.1356
02/17/15,1.1357,1.1449,1.1327,1.1413
02/18/15,1.141,1.1418,1.1336,1.1398
02/19/15,1.1399,1.1451,1.1357,1.1368
02/20/15,1.1369,1.1425,1.1281,1.1381
02/23/15,1.1381,1.1395,1.1296,1.1335
02/24/15,1.1336,1.1359,1.1289,1.1341
02/25/15,1.1336,1.1387,1.1335,1.1361
02/26/15,1.1361,1.1381,1.1184,1.1199
